id,date,user,pc,activity
{K9H9-S5HD20FS-1882RRSI},01/13/2010 16:23:30,HVF0067,PC-9939,Connect
{P1U9-Z0HI20OA-1160IUJN},01/13/2010 16:23:43,IIW0249,PC-0843,Disconnect
{H6L9-Q0LM51YP-5420UWQV},01/13/2010 16:23:48,SCP0130,PC-2057,Connect
{U6R4-O2EQ89BA-2762TAZE},01/13/2010 16:23:53,KKW0879,PC-2531,Connect
{Y2K4-Q7KS30UV-8319KMUM},01/13/2010 16:23:59,HVF0067,PC-9939,Disconnect
{R7P9-V3TY61HO-7193LTKO},01/13/2010 16:24:02,BJM0111,PC-6866,Disconnect
{Y6Q3-H5WQ76ZH-3029ZIND},01/13/2010 16:24:05,PDH0716,PC-0379,Connect
{D6H4-Z1ES69AA-1852LUHE},01/13/2010 16:24:22,HBO0413,PC-7384,Connect
{G6J0-H0HF96GM-5699VFBZ},01/13/2010 16:24:49,JFC0557,PC-9179,Disconnect
{J7Q6-S7WO25BD-3187BFOR},01/13/2010 16:26:10,KJJ0293,PC-7425,Connect
{H3X2-A4GC82WE-5242CDVW},01/13/2010 16:26:38,BEH0615,PC-9461,Connect
{Y9N0-K2NW00NJ-9351JGQD},01/13/2010 16:27:14,KJJ0293,PC-7425,Disconnect
{Q5Y8-V6QI78PJ-1471EWLI},01/13/2010 16:27:41,HCS0003,PC-3054,Disconnect
{H4U1-K0DI62LI-9891EPUT},01/13/2010 16:28:50,SBH0537,PC-2139,Connect
{U4T1-Z2KM05AA-7734LBFW},01/13/2010 16:29:08,HRL0540,PC-1117,Connect
{K8V8-G2DH63KY-8087VIEO},01/13/2010 16:30:06,BQS0525,PC-0269,Connect
{H7G0-Y0CK83SM-2854JVOV},01/13/2010 16:30:08,QRM0739,PC-7343,Connect
{I4T3-G6XY59KH-4596CDGO},01/13/2010 16:30:46,BRM0995,PC-0768,Connect
{T5T4-C9IG56NH-0975NXVO},01/13/2010 16:31:33,QRM0739,PC-7343,Disconnect
{K2I2-Z6NB28OS-2004LNJA},01/13/2010 16:31:35,SAA0999,PC-4559,Disconnect
{G0G2-N4YE48ZM-0121MPMV},01/13/2010 16:31:50,HMM0108,PC-8052,Disconnect
{T9L1-K9MO97UZ-7750AKNA},01/13/2010 16:32:12,SCP0130,PC-2057,Disconnect
{T7I3-A0YA01GO-5944WBHB},01/13/2010 16:32:23,PDH0716,PC-0379,Disconnect
{U7W6-T3EH41YO-9997FEPP},01/13/2010 16:33:28,BQS0525,PC-0269,Disconnect
{H2E0-M4TT14AP-3695UUBA},01/13/2010 16:36:16,KKW0879,PC-2531,Disconnect
{T6V1-O6LF19IB-4979BEUZ},01/13/2010 16:36:53,BMG0917,PC-6688,Disconnect
{P1R1-P4ID96FV-2064ZSQH},01/13/2010 16:36:59,NWT0098,PC-4667,Connect
{X7D8-B9IK58CB-7886BGBC},01/13/2010 16:38:06,BRM0995,PC-0768,Disconnect
{H2I4-I1OZ47UZ-1203VSOW},01/13/2010 16:39:50,CIM0271,PC-3291,Disconnect
{D3I0-N7SO00JJ-8097PLKK},01/13/2010 16:40:02,NWT0098,PC-4667,Disconnect
{Y2T6-G8EM39IK-9628GLLO},01/13/2010 16:40:31,THR0873,PC-4804,Connect
{Z3B9-Z0RS71WV-1731JQBU},01/13/2010 16:41:25,BEH0615,PC-9461,Disconnect
{P9H6-T0IU86QD-9027QWPB},01/13/2010 16:43:03,VIA0063,PC-2684,Connect
{T7N2-K6IT15UL-2603KVWF},01/13/2010 16:45:50,RDT0424,PC-3742,Connect
{N9J4-F4WT99IP-1708ASEZ},01/13/2010 16:47:41,CTA0020,PC-3118,Connect
{N8A9-R8YY56YI-4331YEKV},01/13/2010 16:48:33,MVB0515,PC-3476,Disconnect
{I3R4-L2JP36NH-6349TSVW},01/13/2010 16:49:20,VIA0063,PC-2684,Disconnect
{Q4R9-W5GP12MM-3823PMWQ},01/13/2010 16:51:13,DIB0081,PC-9524,Disconnect
{K3D5-X0NG02CR-2919FRWK},01/13/2010 16:51:24,MGS0974,PC-0351,Connect
{F7E3-R3GW81AE-5019RTOD},01/13/2010 16:52:42,MGS0974,PC-0351,Disconnect
{W0F0-I3PO43DI-9648YDFH},01/13/2010 16:54:07,IKR0401,PC-6741,Connect
{X1J4-M0VL71AF-8803HETA},01/13/2010 16:54:12,WIF0691,PC-6390,Connect
{G7Y0-G0KZ66BM-5331VZUD},01/13/2010 16:56:10,HPH0075,PC-2417,Connect
{J6I7-J9LN20AK-6000QHRI},01/13/2010 16:56:24,CQW0652,PC-3449,Connect
{E2F6-X3PE27WF-8657TUOW},01/13/2010 16:56:25,HSB0196,PC-8001,Connect
{P4S6-S8EQ98RV-3071LAND},01/13/2010 16:56:32,HPH0075,PC-2417,Disconnect
{U3W6-M1TG81YV-3594RTRV},01/13/2010 16:58:20,RUM0880,PC-8592,Connect
{L2P1-H0BI86BJ-9432SDRZ},01/13/2010 16:58:41,BBS0422,PC-4551,Disconnect
{I5M3-D3HZ89VB-4907CGPJ},01/13/2010 16:59:11,BJM0111,PC-6866,Connect
{C9G2-T1DD32CX-7507SBTZ},01/13/2010 16:59:56,BJM0111,PC-6866,Disconnect
{S4O9-Q1FB68IR-9790GXHJ},01/13/2010 17:00:21,THR0873,PC-4804,Disconnect
{O4J6-Y9OO04BP-7995FXAW},01/13/2010 17:00:39,RDT0424,PC-3742,Disconnect
{P3D7-S1IY84CB-3318LSMR},01/13/2010 17:04:01,HRL0540,PC-1117,Disconnect
{R0H5-S1JU57ML-9945XRXY},01/13/2010 17:04:47,HBO0413,PC-7384,Disconnect
{K0T4-N9AR82OU-0817HSCQ},01/13/2010 17:05:42,NDM0417,PC-9134,Connect
{K8W6-C4LT22DH-0568WCTI},01/13/2010 17:07:19,HRL0540,PC-1117,Connect
{X3U8-A0EM40AE-3487AGXM},01/13/2010 17:07:21,HSB0196,PC-8001,Disconnect
{B1F5-D8EW04OO-6951BZKP},01/13/2010 17:07:33,CTA0020,PC-3118,Disconnect
{I4D0-T7CC45OH-5371YWNT},01/13/2010 17:08:50,SMY0792,PC-5923,Disconnect
{N8H2-P7TO54VU-0757JBPL},01/13/2010 17:10:29,RUM0880,PC-8592,Disconnect
{A1H4-S0FR02HC-3201BJYD},01/13/2010 17:12:47,NDM0417,PC-9134,Disconnect
{B2Y5-Q4SV72EP-1825EDDP},01/13/2010 17:17:31,RLG0856,PC-1998,Connect
{S2V4-G8UT96ZS-0951UFUB},01/13/2010 17:17:48,WIF0691,PC-6390,Disconnect
{D8N1-A9RA78IQ-4291ZMPG},01/13/2010 17:21:24,SBH0537,PC-2139,Disconnect
{W4G1-H7NJ08IJ-6928UFJQ},01/13/2010 17:21:30,DFH0188,PC-0205,Connect
{X6K8-R7JQ60DV-2353KBOL},01/13/2010 17:22:18,CTA0020,PC-3118,Connect
{F6F5-J1XL13VP-3821VCBM},01/13/2010 17:23:44,RLG0856,PC-1998,Disconnect
{C2A4-V5OS85BZ-1024HZZV},01/13/2010 17:26:00,CQW0652,PC-3449,Disconnect
{I1S7-N6JB25AZ-5015SHYT},01/13/2010 17:26:54,DFH0188,PC-0205,Disconnect
{Z2U3-J4VR33OQ-4563CWWS},01/13/2010 17:28:17,BJM0111,PC-6866,Connect
{G6B7-T3IW07IT-5212AEKS},01/13/2010 17:29:20,DIB0285,PC-1268,Connect
{H7B7-E4MM06NY-3455GRJS},01/13/2010 17:30:28,PNL0301,PC-5611,Connect
{R8X6-Q4DM02FO-7597RHMW},01/13/2010 17:31:43,CTA0020,PC-3118,Disconnect
{I1G2-L8UO47YH-3168PXRT},01/13/2010 17:33:05,RMW0542,PC-7543,Connect
{N9Z0-S4WC99GQ-9064NHJC},01/13/2010 17:33:47,HCL0651,PC-8314,Disconnect
{Y3I3-H0QQ17SS-0022JLGZ},01/13/2010 17:36:58,KCO0122,PC-9174,Connect
{D5S3-W1CY96ZW-2207SQXT},01/13/2010 17:37:37,IKR0401,PC-6741,Disconnect
{D1Y9-C1UC06US-6129FREC},01/13/2010 17:37:50,HRL0540,PC-1117,Disconnect
{Z5Q9-K7YC37LL-0708EBGO},01/13/2010 17:37:50,JFC0557,PC-9179,Connect
{V7G7-L6YT79EZ-1372UCEI},01/13/2010 17:38:06,RAW0915,PC-2113,Connect
{M6O5-I5OA42WZ-7305RIMI},01/13/2010 17:38:43,WIF0691,PC-6390,Connect
{C4Q9-O6MD02FY-3162XBYK},01/13/2010 17:40:00,BJM0111,PC-6866,Disconnect
{M6L6-M7ZT44GH-9480AIWW},01/13/2010 17:40:52,JFC0557,PC-9179,Disconnect
{B5S4-Q6MF29OL-2529GAQG},01/13/2010 17:41:48,RAW0915,PC-2113,Disconnect
{J4Z3-A1AV77CA-1538NPAS},01/13/2010 17:42:03,PNL0301,PC-5611,Disconnect
{U1W4-Q9YH34KD-7675HTIZ},01/13/2010 17:42:05,HRL0540,PC-1117,Connect
{H9Q3-T2SZ70AJ-4848FWKI},01/13/2010 17:47:57,XWD0923,PC-1637,Connect
{B4T0-A4ZI06XM-6434HMVP},01/13/2010 17:49:05,HSB0196,PC-8001,Connect
{V5X6-M3RC10IX-5684ZTRV},01/13/2010 17:51:11,KCO0122,PC-9174,Disconnect
{H2L0-S5WL28MW-8818SHMP},01/13/2010 17:51:29,HRL0540,PC-1117,Disconnect
{A3Y2-C9UG66BZ-1369JVPA},01/13/2010 17:52:48,RMW0542,PC-7543,Disconnect
{I0W8-H7UN69WQ-0372VHUF},01/13/2010 17:54:07,XWD0923,PC-1637,Disconnect
{O0T4-Z7KK61SS-0172NUML},01/13/2010 17:57:52,DIB0285,PC-1268,Disconnect
{P8I7-O3FA35LC-2963OMLS},01/13/2010 17:58:25,BMG0917,PC-6688,Connect
{I6U4-O3OY23KG-0669RJWJ},01/13/2010 17:58:54,KMB0922,PC-1725,Connect
{M0R6-W9UO84FQ-1874RQPC},01/13/2010 18:00:45,WIF0691,PC-6390,Disconnect
{T6I9-Z2WP68ZQ-0456ILPC},01/13/2010 18:01:45,HSB0196,PC-8001,Disconnect
{Z7Q3-K4GN22KF-1300TXBV},01/13/2010 18:10:41,WIF0691,PC-6390,Connect
{C3I4-K6FH46MO-2894NLEA},01/13/2010 18:15:17,BMG0917,PC-6688,Disconnect
{O9X2-O8UP83PT-8823QQDU},01/13/2010 18:20:00,BAJ0654,PC-9268,Connect
{T6Y9-D2DF39ON-2413TFHP},01/13/2010 18:20:47,HCL0651,PC-8314,Connect
{S9T8-J8GB09NO-7416QJXJ},01/13/2010 18:22:09,CGB0637,PC-8508,Connect
{N7L9-J1RA65FA-4792MNIR},01/13/2010 18:22:15,OLW0689,PC-1301,Connect
{I1V7-W3UN41OS-6545AGUD},01/13/2010 18:23:59,VCC0396,PC-4582,Connect
{P2N6-B3XH84ON-7369YCYC},01/13/2010 18:25:55,CQW0652,PC-3449,Connect
{E3S5-L4GB58UE-3875KRMU},01/13/2010 18:27:23,CQW0652,PC-3449,Disconnect
{D2U4-P3IW22YM-2615VSDG},01/13/2010 18:27:53,SAA0999,PC-4559,Connect
{L6Y5-W1YB15FI-3268HBKP},01/13/2010 18:29:23,SAA0999,PC-4559,Disconnect
{K5A5-Y4JU18BI-9672TJYJ},01/13/2010 18:29:43,KMB0922,PC-1725,Disconnect
{V0F2-U4XS80ZV-1162OFUD},01/13/2010 18:31:18,CAM0681,PC-4953,Connect
{Z5Y7-P1NX74UZ-9933WMIT},01/13/2010 18:33:46,HCL0651,PC-8314,Disconnect
{A6K5-C4SN74BA-0069KLZD},01/13/2010 18:34:36,OLW0689,PC-1301,Disconnect
{L2H1-T0MH04BP-4031INBR},01/13/2010 18:36:36,SAA0999,PC-4559,Connect
{J4D7-K8ET01HC-4769RBCU},01/13/2010 18:38:40,ANM0123,PC-3845,Connect
{H0T5-R2KH36DA-0370IRUO},01/13/2010 18:43:21,WIF0691,PC-6390,Disconnect
{Z2C9-J2YN46KV-6974AFUE},01/13/2010 18:47:02,BRM0995,PC-0768,Connect
{D4V3-P8AH54BC-6216TQZY},01/13/2010 18:48:42,BAJ0654,PC-9268,Disconnect
{Z9Z3-H8FW82TK-3548ELLT},01/13/2010 18:51:18,SAA0999,PC-4559,Disconnect
{K2N4-F0GR41NX-6725SEWY},01/13/2010 18:51:24,CAM0681,PC-4953,Disconnect
{H5S4-H2MZ41CT-9605EOFM},01/13/2010 18:54:05,BMG0917,PC-6688,Connect
{F3Q7-V2HT38MN-1307MLEW},01/13/2010 19:01:32,ANM0123,PC-3845,Disconnect
{K6F9-Y9LH00UJ-9707YMZL},01/13/2010 19:05:23,HRL0540,PC-1117,Connect
{M9X1-C7MN93WZ-0358ZVKF},01/13/2010 19:11:31,AJF0370,PC-8144,Connect
{V5L3-R8NY31NX-1656PKET},01/13/2010 19:11:56,AJF0370,PC-8144,Disconnect
{F9J9-R9YW80RM-7792LPOM},01/13/2010 19:17:13,CGB0637,PC-8508,Disconnect
{N1Q7-H3YP70JO-5723WWJE},01/13/2010 19:19:09,BMG0917,PC-6688,Disconnect
{Q0P4-H0MJ65QU-2326UCFJ},01/13/2010 19:21:15,BRM0995,PC-0768,Disconnect
{G2R5-Q3HZ43FC-1618DTMO},01/13/2010 19:25:24,HDS0367,PC-4386,Connect
{K3K8-A0BC65SB-4964BTTO},01/13/2010 19:25:33,HDS0367,PC-4386,Disconnect
{W4J6-J8SD78GS-3181RSGL},01/13/2010 19:31:36,BRM0995,PC-0768,Connect
{O0K5-K0VT25PC-9308WVFC},01/13/2010 19:32:14,BRM0995,PC-0768,Disconnect
{Y1A5-L5MC64NT-7969YTDI},01/13/2010 19:35:18,HRL0540,PC-1117,Disconnect
{S5V7-S3RX22OJ-0569YOHL},01/13/2010 19:37:32,BAL0044,PC-9647,Connect
{U5E3-D1BM16MY-4222NBBE},01/13/2010 19:37:48,BAL0044,PC-9647,Disconnect
{S8P9-D1PK55CY-4275GEOJ},01/13/2010 19:41:24,LCC0819,PC-8192,Connect
{Z2H3-G8UE89AK-7492QLRV},01/13/2010 19:48:11,HRL0540,PC-1117,Connect
{U3I5-D0PE45TO-8533KGMO},01/13/2010 19:50:50,HRL0540,PC-1117,Disconnect
{O9X5-F7SC91BP-4363QRID},01/13/2010 19:59:27,LCC0819,PC-8192,Disconnect
{A5J0-K8UA83MR-1328YQEM},01/13/2010 20:01:45,HRL0540,PC-1117,Connect
{F1C6-D9UU63VM-4141LIJR},01/13/2010 20:03:44,RHL0992,PC-9040,Connect
{C4X7-H3KQ60VG-3994CKYA},01/13/2010 20:05:28,AJF0370,PC-4984,Connect
{D0Y3-J0SA72HI-2298TYMR},01/13/2010 20:06:50,AJF0370,PC-4984,Disconnect
{K0Y2-N2IT10XZ-3540SJCH},01/13/2010 20:06:54,RHL0992,PC-9040,Disconnect
{C0D9-O2IL54XV-3924NEPG},01/13/2010 20:11:54,BRM0995,PC-0768,Connect
{V3A9-G3UD52KC-3118HKKV},01/13/2010 20:12:02,HRL0540,PC-1117,Disconnect
{M5V7-T1ZY91VS-9090KBPY},01/13/2010 20:21:03,LJT0817,PC-3120,Connect
{E4D8-E0HK38WQ-2111IEXD},01/13/2010 20:23:16,LJT0817,PC-3120,Disconnect
{X7C3-Z1YU50QT-8165LDKY},01/13/2010 20:27:42,BRM0995,PC-0768,Disconnect
{Y6U4-A2IT36GU-1856UIYN},01/13/2010 20:39:28,HRL0540,PC-1117,Connect
{O3U6-E7BU34EE-9223TAPI},01/13/2010 20:44:07,BRM0995,PC-0768,Connect
{J9M2-G6SX37JQ-3343ABNU},01/13/2010 20:48:01,HRL0540,PC-1117,Disconnect
{E4G2-F7YJ28XF-5693FLSC},01/13/2010 20:50:17,BRM0995,PC-0768,Disconnect
{S8K7-G4DY57AW-0689AZLF},01/13/2010 21:14:53,MOS0047,PC-8211,Connect
{I7V3-O5RQ69KR-7526TZGS},01/13/2010 21:15:22,MOS0047,PC-8211,Disconnect
{R7I1-K6OT50FT-5197BPBS},01/13/2010 21:28:36,IBB0359,PC-3935,Connect
{J0C5-M4QK19TK-5653IOFP},01/13/2010 21:32:20,IBB0359,PC-3935,Disconnect
{Y6V4-Z5KE58TO-4243MFAH},01/13/2010 21:59:12,HDS0367,PC-0426,Connect
{R1F8-Q7SU39NV-6240KFYS},01/13/2010 22:01:17,HDS0367,PC-0426,Disconnect
{F1C7-T2FH87ZI-7530EDXP},01/13/2010 22:47:28,EIS0041,PC-8330,Connect
{A5Q7-P2ZH14UT-9526OEQN},01/13/2010 22:48:38,EIS0041,PC-8330,Disconnect
{O3Z5-X5NF39PD-3674VYTY},01/13/2010 22:59:49,MPM0220,PC-0692,Connect
{U6R0-Z9NK73OJ-4262MSKX},01/13/2010 23:02:27,MPM0220,PC-0692,Disconnect
{B4B7-D2PD37DE-4553OBMB},01/13/2010 23:07:00,EIS0041,PC-4386,Connect
{I4W6-F9EB80BO-6067MEYJ},01/13/2010 23:11:44,EIS0041,PC-4386,Disconnect
{D3V5-S1TB76DC-4584UADG},01/13/2010 23:13:45,MOS0047,PC-9080,Connect
{O9O7-Q2SR18SS-5374QOMA},01/13/2010 23:19:54,MOS0047,PC-9080,Disconnect
{M1O4-H1BM63QZ-4496YQCK},01/13/2010 23:28:30,AJF0370,PC-6305,Connect
{A8U3-V9FW45RP-5118MZAO},01/13/2010 23:30:03,GTD0219,PC-8989,Connect
{Y7S3-X1CN94GJ-0862GIDI},01/13/2010 23:31:15,GTD0219,PC-8989,Disconnect
{U3E7-I4ZU35YH-0853WMCO},01/13/2010 23:35:02,AJF0370,PC-6305,Disconnect
{X3B2-R5SW58AL-7762EPBV},01/13/2010 23:45:49,MOS0047,PC-3735,Connect
{A7R4-U1WU59GB-1594XVAP},01/13/2010 23:47:42,CCA0046,PC-0836,Connect
{Y7O6-F7XY10CK-8975DVYY},01/13/2010 23:48:17,CCA0046,PC-0836,Disconnect
{I7C0-K2FO19MV-3381NDLM},01/13/2010 23:50:35,MOS0047,PC-3735,Disconnect
{T9U9-A5HN63GV-4890HUQW},01/14/2010 00:19:49,EIS0041,PC-3559,Connect
{S6R3-P4JO14MF-6226EHDQ},01/14/2010 00:20:53,EIS0041,PC-3559,Disconnect
{R2H2-X9WG85EY-0433JAHL},01/14/2010 00:27:06,IBB0359,PC-2191,Connect
{K3M5-B7GO72TF-9546NKBO},01/14/2010 00:29:23,IBB0359,PC-2191,Disconnect
{I4C9-A2KY92YW-6380RTLF},01/14/2010 01:32:46,AJF0370,PC-5002,Connect
{X0R2-S9ZZ68ZX-6150FBFS},01/14/2010 01:33:08,AJF0370,PC-5002,Disconnect
{Z4R8-P8QD76JG-2743FEOW},01/14/2010 03:19:17,MPM0220,PC-9782,Connect
{O0Z8-V5QF11UM-7815LLBU},01/14/2010 03:24:27,MPM0220,PC-9782,Disconnect
{Y7U3-Y8WS15RE-5229BCPK},01/14/2010 03:37:25,MOS0047,PC-2057,Connect
{E4V2-C8DH99GK-0056JRYC},01/14/2010 03:41:10,MOS0047,PC-2057,Disconnect
{R8E0-B7YO15YO-9449FLBT},01/14/2010 04:10:27,EIS0041,PC-7039,Connect
{O2O7-M6LG56SW-5523NHRH},01/14/2010 04:19:16,EIS0041,PC-7039,Disconnect
{F9N4-P4FK87KA-0842DXDO},01/14/2010 04:32:32,EIS0041,PC-2891,Connect
{P0Y3-I5XW18RV-6581JNHF},01/14/2010 04:36:06,EIS0041,PC-2891,Disconnect
{O3X5-M4ZY44LW-2798AZTY},01/14/2010 04:39:05,BSS0369,PC-1609,Connect
{V0I9-U9PA72VF-7066SBRT},01/14/2010 04:39:51,BSS0369,PC-1609,Disconnect
{G2S5-G2AD65JY-1004LBQZ},01/14/2010 05:34:31,CCA0046,PC-3985,Connect
{C8K5-N6ZJ84GB-9662NVQS},01/14/2010 05:40:24,CCA0046,PC-3985,Disconnect
{D0P8-A1CD24NW-7560WXSR},01/14/2010 05:46:05,MPM0220,PC-6105,Connect
{Y6J1-X3JZ26CL-9764PARH},01/14/2010 05:48:06,MPM0220,PC-6105,Disconnect
{W2B9-U7IF21WM-6974ECRL},01/14/2010 06:08:02,AJF0370,PC-9706,Connect
{G9I4-H0FN75IT-9272KXIU},01/14/2010 06:11:31,AJF0370,PC-9706,Disconnect
{Z9L6-F5GC88IB-0745AMMI},01/14/2010 06:52:37,DLM0051,PC-0166,Connect
{C6V8-R3FA09DQ-8133VOGX},01/14/2010 06:55:20,BAL0044,PC-5010,Connect
{W5H3-Z3JN53SF-0473XFBP},01/14/2010 06:56:08,BAL0044,PC-5010,Disconnect
{G0Y1-K2TF11YX-5995EZHQ},01/14/2010 06:58:10,DLM0051,PC-0166,Disconnect
{W4E4-I2ON80VC-0445UXPI},01/14/2010 07:07:09,JMK0099,PC-2363,Connect
{Y9L3-S8GZ59DR-8102OBLL},01/14/2010 07:11:59,DLM0051,PC-0166,Connect
{H5F7-E4IE30NN-9915EZAH},01/14/2010 07:18:26,DLM0051,PC-0166,Disconnect
{M7K9-Z8YT31IM-2643XJSA},01/14/2010 07:22:42,DRR0162,PC-5168,Connect
{F0F5-C4XK77ED-6300ADPX},01/14/2010 07:30:14,AIB0948,PC-8245,Connect
{B0H5-X6JY98HM-1426IBSP},01/14/2010 07:31:34,DRR0162,PC-5168,Disconnect
{B9P6-S6LG47NI-0389ERZQ},01/14/2010 07:33:37,DLM0051,PC-0166,Connect
{K5W3-F1TN64DO-7977OSHJ},01/14/2010 07:37:09,AJF0370,PC-8443,Connect
{B6H4-D4YB30YG-2545GSZE},01/14/2010 07:37:42,AIB0948,PC-8245,Disconnect
{D7Y4-T4MR19YL-8975XPIS},01/14/2010 07:39:04,AJF0370,PC-8443,Disconnect
{F2K5-X7HW91GR-8640DEWT},01/14/2010 07:42:20,DLM0051,PC-0166,Disconnect
{T5Y3-H6XR13IT-5737FHTG},01/14/2010 07:44:49,THR0873,PC-4804,Connect
{X4O1-F9IT54KR-7425BHLX},01/14/2010 07:45:09,MOH0273,PC-6699,Connect
{A9D0-V2TZ11LP-4492SFWB},01/14/2010 07:48:47,JDB0169,PC-7502,Connect
{M0W1-K9BF32OX-0961OHZD},01/14/2010 07:49:03,THR0873,PC-4804,Disconnect
{H9Q8-X7RB42HP-5779HJDK},01/14/2010 07:52:13,MPM0220,PC-2344,Connect
{C9U2-N1TW18FM-1884OOZR},01/14/2010 07:55:16,VTT0385,PC-5027,Connect
{B3X1-Y1ID25EF-5060YZHZ},01/14/2010 07:55:56,HVF0067,PC-9939,Connect
{R5A6-M4YZ57HT-9774PCPL},01/14/2010 07:58:14,MPM0220,PC-2344,Disconnect
{N7K0-B4FH90PG-7783IMCB},01/14/2010 08:02:49,MOH0273,PC-6699,Disconnect
{O6S3-V8IS85XQ-0761JMWW},01/14/2010 08:03:09,JMK0099,PC-2363,Disconnect
{B0N9-A8YC31RY-8779MUOJ},01/14/2010 08:04:58,MDM0625,PC-4984,Connect
{D2Q5-U1AE08RJ-6036WZEF},01/14/2010 08:05:21,RSC0089,PC-9929,Connect
{B2K4-O4OM25ZY-5594UJVD},01/14/2010 08:06:42,MOH0273,PC-6699,Connect
{Z2V9-G0NS74QJ-6082RTAA},01/14/2010 08:07:29,VTT0385,PC-5027,Disconnect
{Y7H0-O9JK40PQ-6627LKML},01/14/2010 08:08:32,HVF0067,PC-9939,Disconnect
{B7L6-B7GU99CY-8196VESS},01/14/2010 08:08:52,MOH0273,PC-6699,Disconnect
{B4F0-Z8QE10HE-5563HVNL},01/14/2010 08:09:14,AIB0948,PC-8245,Connect
{O3G5-O0MC45DB-3135JQAL},01/14/2010 08:10:22,RSC0089,PC-9929,Disconnect
{Z6S1-R0NE91JB-0393UECT},01/14/2010 08:10:55,HCM0267,PC-7651,Connect
{G4V0-A5XB04JR-8333RTOP},01/14/2010 08:11:37,AIB0948,PC-8245,Disconnect
{Q2Z1-M9IU14DM-1891IDMB},01/14/2010 08:11:45,RSC0089,PC-9929,Connect
{N5L8-J9YX89NK-2555AWTD},01/14/2010 08:11:49,DIW0118,PC-0174,Connect
{K4E1-Q8UA76OL-4563TVUR},01/14/2010 08:12:51,LCB0664,PC-3196,Connect
{G9T2-X0YI15KO-6676BGNE},01/14/2010 08:13:57,DIB0081,PC-9524,Connect
{N1N6-V0FP12VK-1052TBHI},01/14/2010 08:14:33,MPM0220,PC-2344,Connect
{Z8H6-E9HW61CC-2768XVVS},01/14/2010 08:19:43,HPH0075,PC-2417,Connect
{U5V8-Y4VD67UR-6325XPYT},01/14/2010 08:19:52,QRM0739,PC-7343,Connect
{E8Y1-G1YP10WT-8802VOYJ},01/14/2010 08:20:37,MPM0220,PC-2344,Disconnect
{U9W6-A2NE98GC-7018DOTW},01/14/2010 08:23:48,DIW0118,PC-0174,Disconnect
{C2X5-D6CT04KQ-0489POJT},01/14/2010 08:24:55,HPH0075,PC-2417,Disconnect
{Q6K4-X0QY77UE-2059IOHW},01/14/2010 08:26:12,RDT0424,PC-3742,Connect
{F9K4-C1BY97NE-9431VWRE},01/14/2010 08:26:35,JDB0169,PC-7502,Disconnect
{K0U0-D8QN06CG-9045TJVT},01/14/2010 08:26:52,DBB0384,PC-4243,Connect
{Q9B7-E3ES68UB-1276FUWB},01/14/2010 08:27:06,USH0199,PC-3581,Connect
{I8N7-B5MS77IN-0999KYGU},01/14/2010 08:28:38,SAA0999,PC-4559,Connect
{C4T3-K1HN22YD-6475UFKH},01/14/2010 08:28:58,MDH0580,PC-4579,Connect
{E1R8-L1RR13FX-6099ZMSC},01/14/2010 08:29:04,LBF0214,PC-3819,Connect
{X9L9-G8RK20XA-9411FYAE},01/14/2010 08:30:04,USH0199,PC-3581,Disconnect
{V8F0-E2IU87ZF-3187WTPP},01/14/2010 08:31:15,QOS0878,PC-2211,Connect
{D3X9-C9NN55AV-8236KCPO},01/14/2010 08:31:16,BMG0917,PC-6688,Connect
{E2K3-F7NG11CH-8748GOKF},01/14/2010 08:32:11,MDM0625,PC-4984,Disconnect
{K7S9-B7KM99PU-4201DFFW},01/14/2010 08:32:24,MOH0273,PC-6699,Connect
{F6X1-F5JP35VO-0350PFDK},01/14/2010 08:33:00,BMG0917,PC-6688,Disconnect
{R7D3-F7FO94NI-6862OVGO},01/14/2010 08:33:16,QOS0878,PC-2211,Disconnect
{K3L2-C9TW63JS-6114DRQB},01/14/2010 08:33:26,HCM0267,PC-7651,Disconnect
{E1T2-H5PR39IB-7705LCER},01/14/2010 08:34:39,VTT0385,PC-5027,Connect
{Y0Q6-C2GY58JN-4957RHHP},01/14/2010 08:36:08,MLL0598,PC-0189,Connect
{F0T9-L2GJ09IJ-1510ETET},01/14/2010 08:36:13,HSB0196,PC-8001,Connect
{V0K0-B9IC35UP-3939NXOM},01/14/2010 08:36:21,HCM0267,PC-7651,Connect
{Y4R6-D9OF64GP-7175QFQL},01/14/2010 08:37:05,JJH0613,PC-9171,Connect
{R6A2-X5TG92DS-1133WGVZ},01/14/2010 08:37:19,KKW0879,PC-2531,Connect
{W1O9-S9JC94CJ-0735SNUL},01/14/2010 08:37:46,HSB0196,PC-8001,Disconnect
{F4Q8-Y2RX29GH-8085KYSI},01/14/2010 08:38:47,VTT0385,PC-5027,Disconnect
{F3W7-A7PS67VY-0199ZWIO},01/14/2010 08:39:15,XHW0498,PC-9840,Connect
{Z9Q6-M5MO74KS-0072ZTLL},01/14/2010 08:40:23,AJN0607,PC-8303,Connect
{M9V6-U4LN82AH-4045QCEK},01/14/2010 08:41:30,VTT0385,PC-5027,Connect
{K6N1-H2ND43FV-9253QXBM},01/14/2010 08:41:39,HCM0267,PC-7651,Disconnect
{E5N5-N0JF69EE-8424JAMF},01/14/2010 08:42:56,LCB0664,PC-3196,Disconnect
{U1X9-N1WS50AW-9618EOXI},01/14/2010 08:43:03,OBH0499,PC-7989,Connect
